STATION,DATE,Max - EXITS                                                               ,
,10/02/2019,1358461930,
,10/03/2019,1358460970,
,10/04/2019,1358460141,-6104
18 ST,09/28/2019,4517994,
,09/29/2019,4518239,
,09/30/2019,4518819,
,10/01/2019,4519379,
,10/02/2019,4520012,
,10/03/2019,4520692,
,10/04/2019,4521344,3350
181 ST,09/28/2019,20471299,
,09/29/2019,20473111,
,09/30/2019,20475603,
,10/01/2019,20478276,
,10/02/2019,20481354,
,10/03/2019,20484501,
,10/04/2019,20487760,16461
182-183 STS,09/28/2019,1845721274,
,09/29/2019,1845721806,
,09/30/2019,1845722316,
,10/01/2019,1845722840,
,10/02/2019,1845723398,
,10/03/2019,1845723968,
,10/04/2019,1845724521,3247
183 ST,09/28/2019,1865389100,
,09/29/2019,1865389963,
,09/30/2019,1865391264,
,10/01/2019,1865392700,
,10/02/2019,1865394222,
,10/03/2019,1865395838,
,10/04/2019,1865397423,8323
190 ST,09/28/2019,1844959274,
,09/29/2019,1844958155,
,09/30/2019,1844956199,
,10/01/2019,1844954935,
,10/02/2019,1844953557,
,10/03/2019,1844952148,
,10/04/2019,1844950759,-8515
191 ST,09/28/2019,5559183,
,09/29/2019,5561214,
,09/30/2019,5563723,
,10/01/2019,5566586,
,10/02/2019,5570058,
,10/03/2019,5573589,
,10/04/2019,5576998,17815
2 AV,09/28/2019,26302322,
,09/29/2019,26304930,
,09/30/2019,26307910,
,10/01/2019,26311164,
,10/02/2019,26314965,
,10/03/2019,26318679,
,10/04/2019,26322900,20578
20 AV,09/28/2019,6742775,
,09/29/2019,6743627,
,09/30/2019,6744420,
,10/01/2019,6745189,
,10/02/2019,6746210,
,10/03/2019,6747181,
,10/04/2019,6748167,5392
207 ST,09/28/2019,2249836,
,09/29/2019,2250138,
,09/30/2019,2250515,
,10/01/2019,2250950,
,10/02/2019,2251448,
,10/03/2019,2251907,
,10/04/2019,2252382,2546
21 ST,09/28/2019,3028870,
,09/29/2019,3029208,
,09/30/2019,3029833,
,10/01/2019,3030439,
,10/02/2019,3031085,
,10/03/2019,3031798,
